X,Y,OBJECTID_1,StationDesignation,FuelTypeCode,StationName,StreetAddress,IntersectionDirections,City_1,State,ZIP_1,Plus4,StationPhone,StatusCode,ExpectedDate,GroupsWithAccessCode,AccessDaysTime,CardsAccepted,BDBlends,NGFillTypeCode,NGPSI,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,EVOtherInfo,EVNetwork,EVNetworkWeb,GeocodeStatus,Latitude,Longitude,DateLastConfirmed,ID,UpdatedAt,OwnerTypeCode,FederalAgencyID,FederalAgencyName,OpenDate,HydrogenStatusLink,NGVehicleClass,LPGPrimary,E85BlenderPump,EVConnectorTypes,Country,IntersectionDirectionsFrench,AccessDaysTimeFrench,BDBlendsFrench,GroupsWithAccessCodeFrench,HydrogenIsRetail,AccessCode,AccessDetailCode,FederalAgencyCode,FacilityType,CNGDispenserNum,CNGOnSiteRenewableSource,CNGTotalCompressionCapacity,CNGStorageCapacity,LNGOnSiteRenewableSource,E85OtherEthanolBlends,EVPricing,EVPricingFrench,LPGNozzleTypes,HydrogenPressures,HydrogenStandards,CNGFillTypeCode,CNGPSI,CNGVehicleClass,LNGVehicleClass,EVOnSiteRenewableSource,RestrictedAccess,RDBlends,RDBlendsFrench,RDBlendedwithBiodiesel,RDMaximumBiodieselLevel,NPSUnitName,CNGStationSellsRenewableNatural,LNGStationSellsRenewableNatural,MaximumVehicleClass,EVWorkplaceCharging,EVTotalPortCountBeta,EVCHAdeMOPortCountBeta,EVJ1772PortCountBeta,EVCCSPortCountBeta,EVNEMA1450PortCountBeta,EVNEMA515PortCountBeta,EVNEMA520PortCountBeta,EVTeslaPortCountBeta,EVCCS150pluskWPortCountBeta
-170926.820341182,98037.1465890333,1,NEVI Compliant,ELEC,America's Best Value Inn,3930 County Road 89,,Dunnigan,CA,95937,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,38.88232,-121.97246,2024/03/07 00:00:00+00,121776,2024/03/07 03:21:30,,,,2019/02/01 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-162082.004149309,-33590.692802093,2,NEVI Compliant,ELEC,San Francisco Premium Outlets,2774 Livermore Outlets Dr.,,Livermore,CA,94551,,833-632-2778,E,,Public,24 hours daily,,,,,,,10,,Electrify America,https://www.electrifyamerica.com/,GPS,37.70005,-121.84093,2024/03/07 00:00:00+00,121788,2024/03/07 03:22:16,,,,2018/10/03 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,1,0,10,0,0,0,0,10
154228.858624483,-423885.300851127,3,NEVI Compliant,ELEC,"Walmart 5686 - Burbank, CA",1301 N. Victory Place,,Burbank,CA,91502,,833-632-2778,E,,Public,24 hours daily,,,,,,,10,,Electrify America,https://www.electrifyamerica.com/,GPS,34.18859,-118.32651,2024/03/07 00:00:00+00,125760,2024/03/07 03:22:16,,,,2019/07/02 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,1,0,10,0,0,0,0,10
-348792.844526367,425087.789359717,4,NEVI Compliant,ELEC,"Walmart 1910 - Crescent City, CA",900 East Washington Blvd,,Crescent City,CA,95531,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,41.77408,-124.18975,2024/03/07 00:00:00+00,126268,2024/03/07 03:21:21,,,,2019/07/04 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
226333.774936155,-435004.773985898,5,NEVI Compliant,ELEC,Ontario Mills,950 Ontario Mills Dr,,Ontario,CA,91764,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,34.07424,-117.54753,2024/03/07 00:00:00+00,144238,2024/03/07 03:21:17,,,,2019/08/30 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,1,0,8,0,0,0,0,7
-77038.4487987373,-56121.3211460505,6,NEVI Compliant,ELEC,"Walmart 1963 - Turlock, CA",2111 Fulkerth Road,,Turlock,CA,95380,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,37.50834,-120.87274,2024/03/07 00:00:00+00,145207,2024/03/07 03:21:33,,,,2019/09/13 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-220477.60588807,412171.502967154,7,NEVI Compliant,ELEC,"Walmart 1630 - Yreka, CA",1906 Fort Jones Road,,Yreka,CA,96097,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,41.69938,-122.64512,2024/03/07 00:00:00+00,145228,2024/03/07 03:21:21,,,,2019/09/14 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
349443.729360618,-467893.828273354,8,NEVI Compliant,ELEC,"Walmart 2181 - Indio, CA",82-491 Avenue 42,,Indio,CA,92203,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.74143,-116.22888,2024/03/07 00:00:00+00,146616,2024/03/07 03:22:32,,,,2019/10/04 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
-167743.992173715,-65355.1423275564,9,NEVI Compliant,ELEC,Great Mall,447 Great Mall Drive,,Milpitas,CA,95035,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,37.41336,-121.898,2024/03/07 00:00:00+00,146645,2024/03/07 03:22:09,,,,2019/10/05 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
184130.798654016,-472493.73313833,10,NEVI Compliant,ELEC,Westminster Mall,75 Westminster Mall,,Westminster,CA,92683,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.74523,-118.01319,2024/03/07 00:00:00+00,147442,2024/03/07 03:20:24,,,,2019/11/01 00:00:00+00,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,1,0,4,0,0,0,0,4
195233.341383823,-468370.713577876,11,NEVI Compliant,ELEC,Outlets at Orange,20 City Blvd W,,Orange,CA,92868,,833-632-2778,E,,Public,24 hours daily,,,,,,1,4,,Electrify America,https://www.electrifyamerica.com/,GPS,33.78024,-117.89244,2024/03/07 00:00:00+00,147561,2024/03/07 03:20:20,,,,2019/11/07 00:00:00+00,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5,1,1,4,0,0,0,0,4
