Year,Period,Area,Population Source,Population
"2022","Annual","Alameda County","California Dept of Finance","1,649,975"
"2018","Annual","Alameda County","California Dept of Finance","1,669,659"
"2007","Annual","Alameda County","California Dept of Finance","1,527,809"
"1995","Annual","Alameda County","California Dept of Finance","1,332,936"
"2022","Annual","Alpine County","California Dept of Finance","1,175"
"2018","Annual","Alpine County","California Dept of Finance","1,208"
"2007","Annual","Alpine County","California Dept of Finance","1,252"
"1995","Annual","Alpine County","California Dept of Finance","1,145"
"2022","Annual","Amador County","California Dept of Finance","40,105"
"2018","Annual","Amador County","California Dept of Finance","40,038"
"2007","Annual","Amador County","California Dept of Finance","38,161"
"1995","Annual","Amador County","California Dept of Finance","33,293"
"2022","Annual","Butte County","California Dept of Finance","206,498"
"2018","Annual","Butte County","California Dept of Finance","234,627"
"2007","Annual","Butte County","California Dept of Finance","218,836"
"1995","Annual","Butte County","California Dept of Finance","196,394"
"2022","Annual","Calaveras County","California Dept of Finance","44,769"
"2018","Annual","Calaveras County","California Dept of Finance","45,365"
"2007","Annual","Calaveras County","California Dept of Finance","45,966"
"1995","Annual","Calaveras County","California Dept of Finance","37,979"
"2022","Annual","Colusa County","California Dept of Finance","21,814"
"2018","Annual","Colusa County","California Dept of Finance","21,690"
"2007","Annual","Colusa County","California Dept of Finance","21,761"
"1995","Annual","Colusa County","California Dept of Finance","17,694"
"2022","Annual","Contra Costa County","California Dept of Finance","1,150,114"
"2018","Annual","Contra Costa County","California Dept of Finance","1,158,017"
"2007","Annual","Contra Costa County","California Dept of Finance","1,041,428"
"1995","Annual","Contra Costa County","California Dept of Finance","869,176"
"2022","Annual","Del Norte County","California Dept of Finance","26,738"
"2018","Annual","Del Norte County","California Dept of Finance","27,572"
"2007","Annual","Del Norte County","California Dept of Finance","29,260"
"1995","Annual","Del Norte County","California Dept of Finance","27,843"
"2022","Annual","El Dorado County","California Dept of Finance","189,386"
"2018","Annual","El Dorado County","California Dept of Finance","187,122"
"2007","Annual","El Dorado County","California Dept of Finance","178,672"
"1995","Annual","El Dorado County","California Dept of Finance","143,862"
"2022","Annual","Fresno County","California Dept of Finance","1,011,462"
"2018","Annual","Fresno County","California Dept of Finance","993,965"
"2007","Annual","Fresno County","California Dept of Finance","919,864"
"1995","Annual","Fresno County","California Dept of Finance","748,424"
"2022","Annual","Glenn County","California Dept of Finance","28,449"
"2018","Annual","Glenn County","California Dept of Finance","28,134"
"2007","Annual","Glenn County","California Dept of Finance","28,986"
"1995","Annual","Glenn County","California Dept of Finance","26,161"
